id,name_ch,name,match_title,match_url,midi_url
331,以愛為旗在我以上, His Banner Over Me Is Love,His banner over me is love,https://www.hymnal.net/en/hymn/h/1157,https://www.hymnal.net/Hymns/Hymnal/midi/e1157_i.mid
334,耶穌只要一想到你," Jesus, The Very Thought Of Thee","Jesus, the very thought of Thee",https://www.hymnal.net/en/hymn/h/209,https://www.hymnal.net/Hymns/Hymnal/midi/e0209_i.mid
335,救主耶穌愛者之樂," Jesus, Thou Joy Of Loving Hearts","Jesus, Thou Joy of loving hearts",https://www.hymnal.net/en/hymn/h/205,https://www.hymnal.net/Hymns/Hymnal/midi/e0205_i.mid
343,美哉主耶穌, Fairest Lord Jesus,Fairest Lord Jesus,https://www.hymnal.net/en/hymn/h/175,https://www.hymnal.net/Hymns/Hymnal/midi/e0175_i.mid
344,今世福樂沒滅," Fade, Fade, Each Earthly Joy","Fade, fade each earthly joy",https://www.hymnal.net/en/hymn/h/531,https://www.hymnal.net/Hymns/Hymnal/midi/e0531_i.mid
352,住在你裡面, Abide In Thee,Abide in Thee! in that deep love of Thine,https://www.hymnal.net/en/hymn/h/563,https://www.hymnal.net/Hymns/Hymnal/midi/e0563_i.mid
354,祂隱藏我魂, He Hideth My Soul,He Hideth My Soul,https://www.hymnal.net/en/hymn/h/334,https://www.hymnal.net/Hymns/Hymnal/midi/e0334_i.mid
357,時常喜樂, Let Us Rejoice,O let us rejoice in the Lord evermore,https://www.hymnal.net/en/hymn/h/717,https://www.hymnal.net/Hymns/Hymnal/midi/e0717_i.mid
358,在祂同在的隱密處, In The Secret Of His Presence,In the secret of His presence,https://www.hymnal.net/en/hymn/h/553,https://www.hymnal.net/Hymns/Hymnal/midi/e0553_i.mid
359,在祂翼下, Under His Wings,Under His wings I am safely abiding,https://www.hymnal.net/en/hymn/h/565,https://www.hymnal.net/Hymns/Hymnal/midi/e0565_i.mid
362,與我同住, Abide With Me,Abide with me! fast falls the eventide,https://www.hymnal.net/en/hymn/h/370,https://www.hymnal.net/Hymns/Hymnal/midi/e0370_i.mid
365,求你揀選我道路," Thy Way, Not Mine, O Lord","Thy way, not mine, O Lord",https://www.hymnal.net/en/hymn/h/393,https://www.hymnal.net/Hymns/Hymnal/midi/e0379_i.mid
366,隨你調度," Have Thine Own Way, Lord","Have Thine own way, Lord",https://www.hymnal.net/en/hymn/h/449,https://www.hymnal.net/Hymns/Hymnal/midi/e0449_i.mid
374,祂旨美甜, Sweet Will Of God,Sweet Will of God,https://www.hymnal.net/en/hymn/h/383,https://www.hymnal.net/Hymns/Hymnal/midi/e0383_i.mid
376,主阿照你旨意," My Jesus, As Thou Wilt","My Jesus, as Thou wilt",https://www.hymnal.net/en/hymn/h/384,https://www.hymnal.net/Hymns/Hymnal/midi/e0384_i.mid
386,你若不壓橄欖成渣, Olives That Have Known No Pressure,Olives that have known no pressure,https://www.hymnal.net/en/hymn/h/626,https://www.hymnal.net/Hymns/Hymnal/midi/e0626_i.mid
391,破毀帶我到主懷, Wrecked Outright On Jesus' Breast,Wrecked outright on Jesus' breast,https://www.hymnal.net/en/hymn/h/637,https://www.hymnal.net/Hymns/Hymnal/midi/e0637_i.mid
392,惟有常出代價, Cross Of Christ! Lead Onward,Cross of Christ! lead onward,https://www.hymnal.net/en/hymn/h/634,https://www.hymnal.net/Hymns/Hymnal/midi/e0634_i.mid
394,由死而生, Life Out Of Death,"Life out of death—dear Master, is it spoken",https://www.hymnal.net/en/hymn/h/640,https://www.hymnal.net/Hymns/Hymnal/midi/e0433_i.mid
396,非我惟主," Not I, But Christ","Not I, but Christ be honored, loved, exalted",https://www.hymnal.net/en/hymn/h/591,https://www.hymnal.net/Hymns/Hymnal/midi/e0591_i.mid
